coal_codigo,coal_codMunicipio,coal_anio,coal_tipo_institucion,coal_aprobados,coal_reprobados,coal_desertores,coal_porce_aprobados,coal_porce_reprobados,coal_porce_desertores,coal_traslados
91,41396,2012,1,,,,97,3,3.4,
92,41483,2012,1,,,,98.3,1.7,7,
93,41001,2012,1,,,,87.7,12.3,6.9,
94,41503,2012,1,,,,97.6,2.4,3.1,
95,41518,2012,1,,,,87.8,12.2,2.2,
96,41524,2012,1,,,,91.5,8.5,1.4,
97,41530,2012,1,,,,100,0,3.6,
98,41548,2012,1,,,,98,2,3.6,
99,41551,2012,1,,,,89.7,10.3,5.6,
100,41615,2012,1,,,,95.8,4.2,2,
101,41660,2012,1,,,,100,0,7.5,
102,41668,2012,1,,,,98.8,1.2,0.6,
103,41676,2012,1,,,,92.8,7.2,7.1,
104,41770,2012,1,,,,98.2,1.8,3.5,
105,41791,2012,1,,,,96.5,3.5,6.4,
106,41799,2012,1,,,,96.3,3.7,5.3,
107,41801,2012,1,,,,89.9,10.1,6.6,
108,41797,2012,1,,,,91.4,8.6,3.5,
109,41807,2012,1,,,,94.3,5.7,4.2,
110,41872,2012,1,,,,96,4,3,
111,41885,2012,1,,,,82.5,17.5,2,
112,41006,2011,1,,,,98.2,1.8,1.8,
113,41013,2011,1,,,,99,1,2.6,
114,41016,2011,1,,,,92.8,7.2,8.9,
115,41020,2011,1,,,,93.6,6.4,5.7,
116,41026,2011,1,,,,95,5,0.5,
117,41078,2011,1,,,,98,2,3.2,
118,41132,2011,1,,,,98.3,1.7,1.8,
119,41206,2011,1,,,,96,4,6.8,
120,41244,2011,1,,,,100,0,6.4,
121,41298,2011,1,,,,97.2,2.8,4.9,
122,41306,2011,1,,,,98.1,1.9,2.7,
123,41319,2011,1,,,,96.5,3.5,1.5,
124,41349,2011,1,,,,90.6,9.4,6.5,
125,41357,2011,1,,,,94,6,6.5,
126,41359,2011,1,,,,99,1,8.9,
127,41378,2011,1,,,,92.6,7.4,4.3,
128,41396,2011,1,,,,97,3,3.4,
129,41483,2011,1,,,,98.3,1.7,7,
130,41001,2011,1,,,,87.7,12.3,6.9,
131,41503,2011,1,,,,97.6,2.4,3.1,
132,41518,2011,1,,,,87.8,12.2,2.2,
133,41524,2011,1,,,,91.5,8.5,1.4,
134,41530,2011,1,,,,100,0,3.6,
135,41548,2011,1,,,,98,2,3.6,
136,41551,2011,1,,,,89.7,10.3,5.6,
137,41615,2011,1,,,,95.8,4.2,2,
138,41660,2011,1,,,,100,0,7.5,
139,41668,2011,1,,,,98.8,1.2,0.6,
140,41676,2011,1,,,,92.8,7.2,7.1,
141,41770,2011,1,,,,98.2,1.8,3.5,
142,41791,2011,1,,,,96.5,3.5,6.4,
143,41799,2011,1,,,,96.3,3.7,5.3,
144,41801,2011,1,,,,89.9,10.1,6.6,
145,41797,2011,1,,,,91.4,8.6,3.5,
146,41807,2011,1,,,,94.3,5.7,4.2,
147,41872,2011,1,,,,96,4,3,
148,41885,2011,1,,,,82.5,17.5,2,
149,41006,2010,1,,,,96.9,3.1,4.1,6.9
150,41013,2010,1,,,,89.2,10.8,6.9,9.6
151,41016,2010,1,,,,89.3,10.7,8.9,6.8
152,41020,2010,1,,,,93.4,6.6,6.5,5.7
153,41026,2010,1,,,,83.1,16.9,0.3,8.9
154,41078,2010,1,,,,91.3,8.7,8.4,5.1
155,41132,2010,1,,,,89.5,10.5,7.5,5.9
156,41206,2010,1,,,,90.5,9.5,8.1,6
157,41244,2010,1,,,,94.9,5.1,3.4,4.7
158,41298,2010,1,,,,90,10,7.8,8.3
159,41306,2010,1,,,,95.4,4.6,5.5,8.4
160,41319,2010,1,,,,94.8,5.2,5.7,8.4
161,41349,2010,1,,,,94,6,10.4,6
162,41357,2010,1,,,,87.6,12.4,11,5.8
163,41359,2010,1,,,,93.3,6.7,6.7,3.9
164,41378,2010,1,,,,90.7,9.3,2.9,3.1
165,41396,2010,1,,,,94.4,5.6,6.7,3.7
166,41483,2010,1,,,,92.8,7.2,5.3,5.7
167,41001,2010,1,,,,0,0,0,0
168,41503,2010,1,,,,96.1,3.9,3.5,4.4
169,41518,2010,1,,,,88.5,11.5,5.6,9.8
170,41524,2010,1,,,,87.5,12.5,3.5,10.5
171,41530,2010,1,,,,99.7,0.3,4,6.5
172,41548,2010,1,,,,90.2,9.8,4.2,6.6
173,41551,2010,1,,,,94.68,5.32,6.28,5.5
174,41615,2010,1,,,,90.3,9.7,3.8,9.4
175,41660,2010,1,,,,94.6,5.4,10.8,5.9
176,41668,2010,1,,,,96.4,3.6,4.4,5.1
177,41676,2010,1,,,,93.5,6.5,5.3,7
178,41770,2010,1,,,,94,6,3.6,7.6
179,41791,2010,1,,,,94,6,5.9,2.7
180,41799,2010,1,,,,91.9,8.1,9.9,5.7
181,41801,2010,1,,,,90.1,9.9,9.7,6.1
182,41797,2010,1,,,,91.4,8.6,4.6,8.6
183,41807,2010,1,,,,93.2,6.8,5.7,6.3
184,41872,2010,1,,,,84.3,15.7,3.2,4.6
185,41885,2010,1,,,,89.8,10.2,8,5.7
186,41006,2009,1,,,,97.2,2.8,3.9,4.4
187,41013,2009,1,,,,95.5,4.5,6.8,6.8
188,41016,2009,1,,,,96.4,3.6,5.1,7.7
189,41020,2009,1,,,,97.5,2.5,5.2,6.5
190,41026,2009,1,,,,95.6,4.4,2,12.9
191,41078,2009,1,,,,94.8,5.2,7.8,6.5
192,41132,2009,1,,,,95.9,4.1,5.9,7
193,41206,2009,1,,,,96.6,3.4,5.7,6.9
194,41244,2009,1,,,,97,3,5.6,3.8
195,41298,2009,1,,,,96.4,3.6,6.6,8.3
196,41306,2009,1,,,,95,5,4.9,7.5
197,41319,2009,1,,,,97.4,2.6,3.9,6.3
198,41349,2009,1,,,,92.2,7.8,6.4,5.5
199,41357,2009,1,,,,95.8,4.2,6,9.8
200,41359,2009,1,,,,98.2,1.8,5.4,2.6
201,41378,2009,1,,,,96.4,3.6,4.3,5.2
202,41396,2009,1,,,,97.1,2.9,4.8,4.3
203,41483,2009,1,,,,97.5,2.5,6.1,4.5
204,41001,2009,1,,,,0,0,0,0
205,41503,2009,1,,,,97.1,2.9,3.2,6.3
206,41518,2009,1,,,,89.9,10.1,4.8,9
207,41524,2009,1,,,,95,5,2.7,7.6
208,41530,2009,1,,,,99.5,0.5,5.4,6.1
209,41548,2009,1,,,,98,2,4,10.1
210,41551,2009,1,,,,94.7,5.3,6.3,5.5
211,41615,2009,1,,,,95.4,4.6,3,8.9
212,41660,2009,1,,,,94.5,5.5,4.1,5.4
213,41668,2009,1,,,,97.8,2.2,4.2,4.7
214,41676,2009,1,,,,98.2,1.8,6.1,7.3
215,41770,2009,1,,,,96.4,3.6,6.6,6.5
216,41791,2009,1,,,,96.5,3.5,2.4,2.2
217,41799,2009,1,,,,96.5,3.5,6.8,7.6
218,41801,2009,1,,,,95.7,4.3,7.6,4.8
219,41797,2009,1,,,,95.8,4.2,1.2,6.6
220,41807,2009,1,,,,97.8,2.2,5,4.4
221,41872,2009,1,,,,95.6,4.4,8.7,3.9
222,41885,2009,1,,,,95.7,4.3,2.7,10
223,41006,2008,1,,,,5976,159,240,390
224,41013,2008,1,,,,2180,97,218,155
225,41016,2008,1,,,,4554,237,334,349
226,41020,2008,1,,,,5643,178,479,271
227,41026,2008,1,,,,788,26,45,81
228,41078,2008,1,,,,1781,56,290,61
229,41132,2008,1,,,,7247,340,629,349
230,41206,2008,1,,,,1754,50,191,84
231,41244,2008,1,,,,830,29,49,23
232,41298,2008,1,,,,14401,363,1174,1260
233,41306,2008,1,,,,6892,245,369,725
234,41319,2008,1,,,,4321,148,364,212
235,41349,2008,1,,,,1333,59,46,117
236,41357,2008,1,,,,2415,99,178,150
237,41359,2008,1,,,,5649,134,439,185
238,41378,2008,1,,,,3266,86,200,87
239,41396,2008,1,,,,13015,430,669,512
240,41483,2008,1,,,,1517,61,112,67
241,41001,2008,1,,,,0,3345,5365,0
242,41503,2008,1,,,,2748,61,125,93
243,41518,2008,1,,,,1282,93,51,127
244,41524,2008,1,,,,5574,281,216,538
245,41530,2008,1,,,,2583,16,74,68
246,41548,2008,1,,,,4322,73,218,286
247,41551,2008,1,,,,30049,1049,1900,1384
248,41615,2008,1,,,,4821,215,225,384
249,41660,2008,1,,,,2632,114,200,118
250,41668,2008,1,,,,8650,148,289,311
251,41676,2008,1,,,,2407,41,287,124
252,41770,2008,1,,,,4266,159,286,198
253,41791,2008,1,,,,4530,68,238,177
