ped_codigo,ped_codMunicipio,ped_anio,ped_poblacion_escolar,ped_num_poblacion_escolar
486,41026,2012,3,371
487,41078,2012,3,794
488,41132,2012,3,2693
489,41206,2012,3,1007
490,41244,2012,3,335
491,41298,2012,3,7408
492,41306,2012,3,2506
493,41319,2012,3,1742
494,41349,2012,3,526
495,41357,2012,3,976
496,41359,2012,3,2340
497,41378,2012,3,1235
498,41396,2012,3,5452
499,41483,2012,3,579
500,41001,2012,3,24773
501,41503,2012,3,1365
502,41518,2012,3,516
503,41524,2012,3,2450
504,41530,2012,3,1007
505,41548,2012,3,1160
506,41551,2012,3,10392
507,41615,2012,3,1298
508,41660,2012,3,1053
509,41668,2012,3,2677
510,41676,2012,3,928
511,41770,2012,3,1506
512,41791,2012,3,1532
513,41799,2012,3,1274
514,41801,2012,3,712
515,41797,2012,3,724
516,41807,2012,3,1794
517,41872,2012,3,601
518,41885,2012,3,636
519,41006,2012,4,1427
520,41013,2012,4,396
521,41016,2012,4,1037
522,41020,2012,4,938
523,41026,2012,4,185
524,41078,2012,4,410
525,41132,2012,4,1351
526,41206,2012,4,521
527,41244,2012,4,168
528,41298,2012,4,3703
529,41306,2012,4,1348
530,41319,2012,4,888
531,41349,2012,4,282
532,41357,2012,4,505
533,41359,2012,4,1140
534,41378,2012,4,587
535,41396,2012,4,2646
536,41483,2012,4,295
537,41001,2012,4,12803
538,41503,2012,4,609
539,41518,2012,4,235
540,41524,2012,4,1226
541,41530,2012,4,504
542,41548,2012,4,574
543,41551,2012,4,5206
544,41615,2012,4,689
545,41660,2012,4,487
546,41668,2012,4,1394
547,41676,2012,4,468
548,41770,2012,4,767
549,41791,2012,4,730
550,41799,2012,4,622
551,41801,2012,4,344
552,41797,2012,4,380
553,41807,2012,4,888
554,41872,2012,4,317
555,41885,2012,4,338
556,41006,2011,1,742
557,41013,2011,1,204
558,41016,2011,1,542
559,41020,2011,1,545
560,41026,2011,1,88
561,41078,2011,1,190
562,41132,2011,1,662
563,41206,2011,1,239
564,41244,2011,1,90
565,41298,2011,1,1816
566,41306,2011,1,720
567,41319,2011,1,469
568,41349,2011,1,150
569,41357,2011,1,234
570,41359,2011,1,541
571,41378,2011,1,303
572,41396,2011,1,1340
573,41483,2011,1,129
574,41001,2011,1,5573
575,41503,2011,1,330
576,41518,2011,1,115
577,41524,2011,1,634
578,41530,2011,1,238
579,41548,2011,1,283
580,41551,2011,1,2465
581,41615,2011,1,367
582,41660,2011,1,275
583,41668,2011,1,611
584,41676,2011,1,249
585,41770,2011,1,400
586,41791,2011,1,424
587,41799,2011,1,337
588,41801,2011,1,184
589,41797,2011,1,196
590,41807,2011,1,437
591,41872,2011,1,168
592,41885,2011,1,146
593,41006,2011,2,3734
594,41013,2011,2,1020
595,41016,2011,2,2623
596,41020,2011,2,2622
597,41026,2011,2,449
598,41078,2011,2,971
599,41132,2011,2,3370
600,41206,2011,2,1224
601,41244,2011,2,436
602,41298,2011,2,9075
603,41306,2011,2,3431
604,41319,2011,2,2276
605,41349,2011,2,718
606,41357,2011,2,1188
607,41359,2011,2,2792
608,41378,2011,2,1525
609,41396,2011,2,6738
610,41483,2011,2,673
611,41001,2011,2,29026
612,41503,2011,2,1679
613,41518,2011,2,607
614,41524,2011,2,3153
615,41530,2011,2,1219
