cies_codigo,cies_anio,cies_semestre,cies_puesto,cies_institucion_educativa,cies_codMunicipio,cies_tipo_institucion,cies_indice,cies_categoria
88,2012,,28,35,41551,,48.2575,SUPERIOR
89,2012,,29,40,41001,,47.7875,SUPERIOR
90,2012,,30,27,41001,,47.77375,MUY SUPERIOR
91,2011,,1,17,41001,,,Muy Superior
92,2011,,2,15,41001,,,Superior
93,2011,,3,20,41001,,,Superior
94,2011,,4,19,41001,,,Superior
95,2011,,5,22,41001,,,Superior
96,2011,,6,24,41001,,,Superior
97,2011,,7,32,41001,,,Superior
98,2011,,8,16,41001,,,Superior
99,2011,,9,36,41001,,,Superior
100,2011,,10,35,41001,,,Superior
101,2011,,11,34,41001,,,Superior
102,2011,,12,51,41668,,,Superior
103,2011,,13,29,41001,,,Alto
104,2011,,14,18,41001,,,Alto
105,2011,,15,49,41001,,,Alto
106,2011,,16,40,41001,,,Alto
107,2011,,17,52,41001,,,Alto
108,2011,,18,43,41001,,,Alto
109,2011,,19,43,41001,,,Alto
110,2011,,20,53,41001,,,Alto
111,2011,,21,54,41001,,,Alto
112,2011,,22,55,41001,,,Alto
113,2011,,23,56,41006,,,Alto
114,2011,,24,57,41016,,,Alto
115,2011,,25,28,41298,,,Alto
116,2011,,26,58,41298,,,Alto
117,2011,,27,59,41306,,,Alto
118,2011,,28,26,41551,,,Alto
119,2011,,29,35,41551,,,Alto
120,2011,,30,39,41551,,,Alto
