dou_codig,dou_anio,dou_universidad,dou_semestre,dou_nivel_educacion_superior,dou_programa,dou_categoria_personalU,dou_genero,dou_num_personalU
248,2014,4,2,5,81,3,2,0
249,2014,4,2,5,82,1,1,0
250,2014,4,2,5,82,3,1,4
251,2014,4,2,5,82,1,2,0
252,2014,4,2,5,82,3,2,3
253,2014,4,2,5,83,1,1,2
254,2014,4,2,5,83,3,1,5
255,2014,4,2,5,83,1,2,0
256,2014,4,2,5,83,3,2,13
257,2014,4,2,5,84,1,1,0
258,2014,4,2,5,84,3,1,17
259,2014,4,2,5,84,1,2,0
260,2014,4,2,5,84,3,2,6
261,2014,4,2,5,85,1,1,5
262,2014,4,2,5,85,3,1,17
263,2014,4,2,5,85,1,2,2
264,2014,4,2,5,85,3,2,5
265,2014,4,2,5,86,1,1,8
266,2014,4,2,5,86,3,1,25
267,2014,4,2,5,86,1,2,4
268,2014,4,2,5,86,3,2,20
269,2014,4,2,5,44,1,1,5
270,2014,4,2,5,44,3,1,14
271,2014,4,2,5,44,1,2,1
272,2014,4,2,5,44,3,2,4
273,2014,4,2,5,45,1,1,18
274,2014,4,2,5,45,3,1,72
275,2014,4,2,5,45,1,2,7
276,2014,4,2,5,45,3,2,31
277,2014,4,2,6,87,1,1,0
278,2014,4,2,6,87,3,1,4
279,2014,4,2,6,87,1,2,0
280,2014,4,2,6,87,3,2,0
281,2013,1,1,5,,1,1,175
282,2013,1,1,5,,2,1,45
283,2013,1,1,5,,3,1,321
284,2013,1,1,5,,1,2,67
285,2013,1,1,5,,2,2,4
286,2013,1,1,5,,3,2,213
287,2013,1,2,5,,1,1,184
288,2013,1,2,5,,2,1,40
289,2013,1,2,5,,3,1,315
290,2013,1,2,5,,1,2,63
291,2013,1,2,5,,2,2,7
292,2013,1,2,5,,3,2,218
293,2013,1,1,6,,1,1,0
294,2013,1,1,6,,2,1,0
295,2013,1,1,6,,3,1,64
296,2013,1,1,6,,1,2,0
297,2013,1,1,6,,2,2,0
298,2013,1,1,6,,3,2,20
299,2013,1,2,6,,1,1,0
300,2013,1,2,6,,2,1,0
301,2013,1,2,6,,3,1,57
302,2013,1,2,6,,1,2,0
303,2013,1,2,6,,2,2,0
304,2013,1,2,6,,3,2,21
305,2013,2,1,5,1,1,1,0
306,2013,2,1,5,6,1,1,2
307,2013,2,1,5,44,1,1,4
308,2013,2,1,5,41,1,1,17
309,2013,2,1,5,45,1,1,14
310,2013,2,1,5,34,1,1,4
311,2013,2,1,5,20,1,1,4
312,2013,2,1,5,35,1,1,0
313,2013,2,1,5,47,1,1,1
314,2013,2,1,6,48,1,1,0
315,2013,2,1,6,49,1,1,0
316,2013,2,1,5,1,1,2,1
317,2013,2,1,5,6,1,2,0
318,2013,2,1,5,44,1,2,1
319,2013,2,1,5,41,1,2,4
320,2013,2,1,5,45,1,2,4
321,2013,2,1,5,34,1,2,4
322,2013,2,1,5,20,1,2,1
323,2013,2,1,5,35,1,2,0
324,2013,2,1,5,47,1,2,0
325,2013,2,1,6,48,1,2,1
326,2013,2,1,6,49,1,2,1
327,2013,2,1,5,1,2,1,1
328,2013,2,1,5,6,2,1,3
329,2013,2,1,5,44,2,1,2
330,2013,2,1,5,41,2,1,11
331,2013,2,1,5,45,2,1,11
332,2013,2,1,5,34,2,1,0
333,2013,2,1,5,20,2,1,0
334,2013,2,1,5,35,2,1,1
335,2013,2,1,5,47,2,1,0
336,2013,2,1,6,48,2,1,0
337,2013,2,1,6,49,2,1,0
338,2013,2,1,5,1,2,2,0
339,2013,2,1,5,6,2,2,0
340,2013,2,1,5,44,2,2,0
341,2013,2,1,5,41,2,2,3
342,2013,2,1,5,45,2,2,3
343,2013,2,1,5,34,2,2,0
344,2013,2,1,5,20,2,2,0
345,2013,2,1,5,35,2,2,0
346,2013,2,1,5,47,2,2,0
347,2013,2,1,6,48,2,2,0
348,2013,2,1,6,49,2,2,0
349,2013,2,1,5,1,3,1,1
350,2013,2,1,5,6,3,1,14
351,2013,2,1,5,44,3,1,4
352,2013,2,1,5,41,3,1,23
353,2013,2,1,5,45,3,1,31
354,2013,2,1,5,34,3,1,2
355,2013,2,1,5,20,3,1,4
356,2013,2,1,5,35,3,1,0
357,2013,2,1,5,47,3,1,6
358,2013,2,1,6,48,3,1,0
359,2013,2,1,6,49,3,1,0
360,2013,2,1,5,1,3,2,2
361,2013,2,1,5,6,3,2,1
362,2013,2,1,5,44,3,2,1
363,2013,2,1,5,41,3,2,4
