runi_codigo,runi_anio,runi_universidad,runi_semestre,runi_nivel_educacion_superior,runi_programa,runi_categoria_registro,runi_genero,runi_num_personas
326,2014,4,2,5,82,1,1,1
327,2014,4,2,5,83,1,1,2
328,2014,4,2,5,84,1,1,10
329,2014,4,2,5,85,1,1,16
330,2014,4,2,5,86,1,1,69
331,2014,4,2,5,44,1,1,37
332,2014,4,2,5,45,1,1,243
333,2014,4,2,6,87,1,1,9
334,2014,4,2,5,79,1,2,27
335,2014,4,2,5,80,1,2,27
336,2014,4,2,5,81,1,2,0
337,2014,4,2,5,82,1,2,5
338,2014,4,2,5,83,1,2,5
339,2014,4,2,5,84,1,2,17
340,2014,4,2,5,85,1,2,26
341,2014,4,2,5,86,1,2,98
342,2014,4,2,5,44,1,2,2
343,2014,4,2,5,45,1,2,146
344,2014,4,2,6,87,1,2,14
345,2014,4,1,5,79,2,1,6
346,2014,4,1,5,80,2,1,12
347,2014,4,1,5,81,2,1,0
348,2014,4,1,5,82,2,1,0
349,2014,4,1,5,83,2,1,5
350,2014,4,1,5,84,2,1,8
351,2014,4,1,5,85,2,1,18
352,2014,4,1,5,86,2,1,70
353,2014,4,1,5,44,2,1,38
354,2014,4,1,5,45,2,1,181
355,2014,4,1,6,87,2,1,8
356,2014,4,1,5,79,2,2,18
357,2014,4,1,5,80,2,2,18
358,2014,4,1,5,81,2,2,0
359,2014,4,1,5,82,2,2,4
360,2014,4,1,5,83,2,2,10
361,2014,4,1,5,84,2,2,23
362,2014,4,1,5,85,2,2,25
363,2014,4,1,5,86,2,2,134
364,2014,4,1,5,44,2,2,25
365,2014,4,1,5,45,2,2,188
366,2014,4,1,6,87,2,2,10
367,2014,4,2,5,79,2,1,13
368,2014,4,2,5,80,2,1,10
369,2014,4,2,5,81,2,1,0
370,2014,4,2,5,82,2,1,1
371,2014,4,2,5,83,2,1,1
372,2014,4,2,5,84,2,1,7
373,2014,4,2,5,85,2,1,14
374,2014,4,2,5,86,2,1,43
375,2014,4,2,5,44,2,1,30
376,2014,4,2,5,45,2,1,148
