ddo_codigo,ddo_codMunicipio,ddo_anio,ddo_categoria_directivo_docente,ddo_num_directivo_docente
188,41016,2016,6,150
189,41020,2016,6,208
190,41026,2016,6,35
191,41078,2016,6,76
192,41132,2016,6,241
193,41206,2016,6,90
194,41244,2016,6,38
195,41298,2016,6,571
196,41306,2016,6,282
197,41319,2016,6,167
198,41349,2016,6,57
199,41357,2016,6,113
200,41359,2016,6,218
201,41378,2016,6,137
202,41396,2016,6,574
203,41483,2016,6,69
204,41001,2016,6,2104
205,41503,2016,6,110
206,41518,2016,6,59
207,41524,2016,6,226
208,41530,2016,6,112
209,41548,2016,6,130
210,41551,2016,6,1049
211,41615,2016,6,183
212,41660,2016,6,120
213,41668,2016,6,282
214,41676,2016,6,105
215,41770,2016,6,189
216,41791,2016,6,176
217,41799,2016,6,125
218,41801,2016,6,72
219,41797,2016,6,96
220,41807,2016,6,181
221,41872,2016,6,65
222,41885,2016,6,56
223,41006,2016,7,
224,41013,2016,7,
225,41016,2016,7,
226,41020,2016,7,
227,41026,2016,7,
228,41078,2016,7,
229,41132,2016,7,
230,41206,2016,7,
231,41244,2016,7,
232,41298,2016,7,1
233,41306,2016,7,
234,41319,2016,7,
235,41349,2016,7,1
236,41357,2016,7,
237,41359,2016,7,
238,41378,2016,7,
239,41396,2016,7,3
240,41483,2016,7,
241,41001,2016,7,17
242,41503,2016,7,
243,41518,2016,7,
244,41524,2016,7,1
245,41530,2016,7,
246,41548,2016,7,
247,41551,2016,7,
248,41615,2016,7,
249,41660,2016,7,
250,41668,2016,7,
251,41676,2016,7,
252,41770,2016,7,
253,41791,2016,7,1
254,41799,2016,7,
255,41801,2016,7,
256,41797,2016,7,1
257,41807,2016,7,
258,41872,2016,7,
259,41885,2016,7,
260,41006,2014,1,9
261,41013,2014,1,3
262,41016,2014,1,3
263,41020,2014,1,6
264,41026,2014,1,1
265,41078,2014,1,3
266,41132,2014,1,5
267,41206,2014,1,5
268,41244,2014,1,1
269,41298,2014,1,13
270,41306,2014,1,8
271,41319,2014,1,3
272,41349,2014,1,1
273,41357,2014,1,5
