nine_codigo,nine_codMunicipio,nine_anio,nine_tipo_institucion,nine_tipo_plantel,nine_area,nine_num_instituciones
258,41872,2016,2,4,1,0
259,41885,2016,2,4,1,2
260,41006,2016,2,4,2,1
261,41013,2016,2,4,2,0
262,41016,2016,2,4,2,0
263,41020,2016,2,4,2,0
264,41026,2016,2,4,2,0
265,41078,2016,2,4,2,0
266,41132,2016,2,4,2,0
267,41206,2016,2,4,2,0
268,41244,2016,2,4,2,0
269,41298,2016,2,4,2,0
270,41306,2016,2,4,2,0
271,41319,2016,2,4,2,0
272,41349,2016,2,4,2,0
273,41357,2016,2,4,2,0
274,41359,2016,2,4,2,0
275,41378,2016,2,4,2,0
276,41396,2016,2,4,2,0
277,41483,2016,2,4,2,0
278,41001,2016,2,4,2,0
279,41503,2016,2,4,2,0
280,41518,2016,2,4,2,0
281,41524,2016,2,4,2,1
282,41530,2016,2,4,2,0
283,41548,2016,2,4,2,0
284,41551,2016,2,4,2,0
285,41615,2016,2,4,2,2
286,41660,2016,2,4,2,0
287,41668,2016,2,4,2,0
288,41676,2016,2,4,2,0
289,41770,2016,2,4,2,0
290,41791,2016,2,4,2,0
291,41799,2016,2,4,2,0
292,41801,2016,2,4,2,0
293,41797,2016,2,4,2,0
294,41807,2016,2,4,2,0
295,41872,2016,2,4,2,0
296,41885,2016,2,4,2,0
297,41006,2015,1,1,1,1
298,41013,2015,1,1,1,1
299,41016,2015,1,1,1,1
300,41020,2015,1,1,1,1
301,41026,2015,1,1,1,1
302,41078,2015,1,1,1,1
303,41132,2015,1,1,1,3
304,41206,2015,1,1,1,1
305,41244,2015,1,1,1,1
306,41298,2015,1,1,1,4
307,41306,2015,1,1,1,3
308,41319,2015,1,1,1,1
309,41349,2015,1,1,1,1
310,41357,2015,1,1,1,1
311,41359,2015,1,1,1,1
312,41378,2015,1,1,1,1
313,41396,2015,1,1,1,5
314,41483,2015,1,1,1,1
315,41001,2015,1,1,1,29
316,41503,2015,1,1,1,1
317,41518,2015,1,1,1,1
318,41524,2015,1,1,1,2
319,41530,2015,1,1,1,1
320,41548,2015,1,1,1,1
321,41551,2015,1,1,1,6
322,41615,2015,1,1,1,1
323,41660,2015,1,1,1,1
324,41668,2015,1,1,1,2
325,41676,2015,1,1,1,1
326,41770,2015,1,1,1,1
327,41791,2015,1,1,1,1
328,41799,2015,1,1,1,1
329,41801,2015,1,1,1,1
330,41797,2015,1,1,1,2
331,41807,2015,1,1,1,1
332,41872,2015,1,1,1,1
333,41885,2015,1,1,1,2
334,41006,2015,1,1,2,8
335,41013,2015,1,1,2,2
336,41016,2015,1,1,2,2
337,41020,2015,1,1,2,5
338,41026,2015,1,1,2,0
339,41078,2015,1,1,2,2
340,41132,2015,1,1,2,2
341,41206,2015,1,1,2,4
342,41244,2015,1,1,2,0
343,41298,2015,1,1,2,9
344,41306,2015,1,1,2,6
345,41319,2015,1,1,2,2
346,41349,2015,1,1,2,0
347,41357,2015,1,1,2,4
348,41359,2015,1,1,2,6
349,41378,2015,1,1,2,4
350,41396,2015,1,1,2,12
351,41483,2015,1,1,2,3
352,41001,2015,1,1,2,9
353,41503,2015,1,1,2,2
354,41518,2015,1,1,2,0
355,41524,2015,1,1,2,6
356,41530,2015,1,1,2,4
357,41548,2015,1,1,2,3
358,41551,2015,1,1,2,10
359,41615,2015,1,1,2,3
360,41660,2015,1,1,2,1
361,41668,2015,1,1,2,7
362,41676,2015,1,1,2,3
363,41770,2015,1,1,2,6
364,41791,2015,1,1,2,5
365,41799,2015,1,1,2,3
366,41801,2015,1,1,2,2
367,41797,2015,1,1,2,2
368,41807,2015,1,1,2,5
369,41872,2015,1,1,2,2
370,41885,2015,1,1,2,0
371,41006,2015,1,2,1,0
372,41013,2015,1,2,1,0
373,41016,2015,1,2,1,0
374,41020,2015,1,2,1,0
375,41026,2015,1,2,1,0
376,41078,2015,1,2,1,0
377,41132,2015,1,2,1,0
378,41206,2015,1,2,1,0
379,41244,2015,1,2,1,0
