educ_codigo,educ_municipio,educ_anio,educ_nivel_educativo,educ_tipo_institucion,educ_grado,educ_area,educ_num_matriculas
306,41298,2014,3,1,,,560
307,41306,2014,3,1,,,178
308,41319,2014,3,1,,,339
309,41349,2014,3,1,,,73
310,41357,2014,3,1,,,90
311,41359,2014,3,1,,,232
312,41378,2014,3,1,,,87
313,41396,2014,3,1,,,269
314,41483,2014,3,1,,,71
315,41001,2014,3,1,,,2774
316,41503,2014,3,1,,,0
317,41518,2014,3,1,,,81
318,41524,2014,3,1,,,64
319,41530,2014,3,1,,,102
320,41548,2014,3,1,,,26
321,41551,2014,3,1,,,2136
322,41615,2014,3,1,,,129
323,41660,2014,3,1,,,93
324,41668,2014,3,1,,,215
325,41676,2014,3,1,,,97
326,41770,2014,3,1,,,349
327,41791,2014,3,1,,,172
328,41799,2014,3,1,,,76
329,41801,2014,3,1,,,36
330,41797,2014,3,1,,,62
331,41807,2014,3,1,,,144
332,41872,2014,3,1,,,99
333,41885,2014,3,1,,,43
334,41006,2014,3,2,,,23
335,41013,2014,3,2,,,0
336,41016,2014,3,2,,,0
337,41020,2014,3,2,,,0
338,41026,2014,3,2,,,0
339,41078,2014,3,2,,,0
340,41132,2014,3,2,,,0
341,41206,2014,3,2,,,0
342,41244,2014,3,2,,,0
343,41298,2014,3,2,,,115
344,41306,2014,3,2,,,0
345,41319,2014,3,2,,,0
346,41349,2014,3,2,,,0
347,41357,2014,3,2,,,0
348,41359,2014,3,2,,,0
349,41378,2014,3,2,,,0
350,41396,2014,3,2,,,50
351,41483,2014,3,2,,,0
352,41001,2014,3,2,,,884
353,41503,2014,3,2,,,23
354,41518,2014,3,2,,,0
355,41524,2014,3,2,,,0
356,41530,2014,3,2,,,0
357,41548,2014,3,2,,,0
358,41551,2014,3,2,,,577
359,41615,2014,3,2,,,0
360,41660,2014,3,2,,,0
361,41668,2014,3,2,,,0
362,41676,2014,3,2,,,0
363,41770,2014,3,2,,,0
364,41791,2014,3,2,,,0
365,41799,2014,3,2,,,0
366,41801,2014,3,2,,,0
367,41797,2014,3,2,,,0
368,41807,2014,3,2,,,65
369,41872,2014,3,2,,,0
370,41885,2014,3,2,,,0
371,41006,2014,4,1,,,156
372,41013,2014,4,1,,,75
373,41016,2014,4,1,,,165
374,41020,2014,4,1,,,142
375,41026,2014,4,1,,,0
376,41078,2014,4,1,,,18
377,41132,2014,4,1,,,16
378,41206,2014,4,1,,,35
379,41244,2014,4,1,,,0
380,41298,2014,4,1,,,372
381,41306,2014,4,1,,,146
