pro_codigo,pro_nombre
250,Maestrìa en Pedagogìa del Inglés-Convenio Universidad De Caldas
251,Especialización En derecho de familia 
252,Especialización en administración pública
253,"Especialización en Pedagogía, Desarrollo y Aprendizaje"
254,Trabajo Social
255,Administración en Salud Ocupacional
256,Salud ocupacional
257,Resto de programas
258,Tecnología en contabilidad y finanzas
259,Tecnología en salud ocupacional
260,Tecnología en análisis y desarrollo de sistemas de información
261,Tecnologia en regencia de farmacia
262,Tecnico profesional en servicio de policia
263,Tecnico profesional en procesos administrativos
264,Tecnico profesional en contabilidad y finanzas
265,Tecnico profesional en diseño gráfico
266,Tecnico profesional en gastronomía
267,Tecnología en gestión empresarial
268,Tecnología en Producción Agropecuaria ecólogica
269,Tecnología en gestión de empresas agropecuarias
270,Técnico profesional en diseño digital
271,Técnico profesional en medios de comunicación
272,Técnico profesional en armado de estructuras en guadua.
273,Tecnologia en Sistemas de Informacion - La Plata
274,"Licenciatura en Educación  Básica Con énfasis en Humanidades, Lengua Extranjera – Garzón"
275,"Licenciatura en Educación Básica Con énfasis en Educación Física, Recreación y Deportes - Pitalito"
276,Lic. en Pedagogía Infantil-Garzón
277,Bacteriología y laboratorío clínico
278,Ingeniería Química
279,Comunicación Social 
280,Área de educación
281,Área de Salud
282,Área Agropecuaría
283,Área Ambiental
284,Administración Pública
285,Español e Idiomas
286,Diseño Gráfico y textil
287,Artes plásticas
288,Democracia y participación ciudadana
289,Ingeniería en Informática
290,licenciatura en Educacion Basica con Enfasis en Matematicas 
291,Licenciatura en Filosofia y Ciencias Religiosas
292,Tecnologia en Gestión Bancaria y Financiera
293,Comunicación y Relaciones Públicas 
294,Especialización en Teleinformática - Convenio Unidistrital
295,Especialización en Automatización Industrial - Coruniversitaria
296,Especialización En Pedagogía Sistemática y de los Sistemas Dinámicos
297,Especialización en Derecho Administrativo - Uninacional
298,Esp. Comp. Docencia
299,Diseño Textil
300,Patología de la conducta
