arco_codigo,arco_codMunicipio,arco_codCultivo,arco_anio,arco_semestre,arco_HasTotalPlantada,arco_HasNuevas,arco_HasRenovadas,arco_HasCosechadas,arco_toneladasProduccion,arco_rendimiento,arco_precioProductor,arco_precioPromedioProduccion,arco_costoPromedioEstablecimiento,arco_costoPromedioSostenimiento
,41676,5,2015,,128.00,,,111.00,49.95,,,,,
,41770,5,2015,,89.00,,,77.00,37.73,,,,,
,41791,5,2015,,287.86,,,217.86,108.93,,,,,
,41799,5,2015,,518.16,,,480.16,240.08,,,,,
,41801,5,2015,,157.00,,,151.00,75.50,,,,,
,41797,5,2015,,329.76,,,266.76,133.38,,,,,
,41807,5,2015,,25.00,,,23.00,11.04,,,,,
,41872,5,2015,,26.00,,,21.00,9.66,,,,,
,41885,5,2015,,56.00,,,50.00,25.00,,,,,
,41006,7,2015,,167.80,,,69.00,483.00,,,,,
,41013,7,2015,,26.70,,,7.00,37.10,,,,,
,41016,7,2015,,77.00,,,20.00,120.00,,,,,
,41020,7,2015,,277.00,,,152.00,760.00,,,,,
,41026,7,2015,,19.00,,,9.00,54.00,,,,,
,41078,7,2015,,135.00,,,75.00,450.00,,,,,
,41132,7,2015,,166.50,,,93.00,465.00,,,,,
,41206,7,2015,,355.00,,,216.00,972.00,,,,,
,41244,7,2015,,27.00,,,9.00,63.00,,,,,
,41298,7,2015,,94.00,,,32.00,208.00,,,,,
,41306,7,2015,,174.50,,,77.00,500.50,,,,,
,41319,7,2015,,50.00,,,17.00,102.00,,,,,
,41349,7,2015,,17.00,,,7.00,42.00,,,,,
,41357,7,2015,,120.60,,,56.00,336.00,,,,,
,41359,7,2015,,4286.00,,,1845.00,13837.50,,,,,
,41378,7,2015,,120.50,,,55.00,330.00,,,,,
,41396,7,2015,,357.50,,,155.00,1085.00,,,,,
,41483,7,2015,,84.00,,,43.00,215.00,,,,,
,41001,7,2015,,707.50,,,372.00,2232.00,,,,,
,41503,7,2015,,53.00,,,11.00,77.00,,,,,
,41518,7,2015,,106.25,,,49.00,343.00,,,,,
