tub_codigo,tub_codMunicipio,tub_anio,tub_poblacion,tub_incidencia,tub_tasa_habitantes
69,41799,2014,14118,7,
70,41801,2014,8691,0,
71,41797,2014,9210,0,
72,41807,2014,20282,0,
73,41872,2014,7316,27,
74,41885,2014,8832,23,
75,41006,2013,31516,5,
76,41013,2013,8954,1,
77,41016,2013,24847,4,
78,41020,2013,24348,4,
79,41026,2013,4154,2,
80,41078,2013,9533,0,
81,41132,2013,33949,6,
82,41206,2013,12166,1,
83,41244,2013,3803,2,
84,41298,2013,84307,15,
85,41306,2013,32248,1,
86,41319,2013,20498,1,
87,41349,2013,6867,0,
88,41357,2013,12299,2,
89,41359,2013,26452,1,
90,41378,2013,13506,3,
91,41396,2013,60563,13,
92,41483,2013,6237,0,
93,41001,2013,337848,199,
94,41503,2013,12934,0,
95,41518,2013,5486,0,
96,41524,2013,31536,1,
97,41530,2013,11302,0,
98,41548,2013,13502,2,
99,41551,2013,121049,16,
100,41615,2013,18384,11,
101,41660,2013,11219,1,
102,41668,2013,32269,5,
103,41676,2013,11129,1,
104,41770,2013,17962,5,
105,41791,2013,17277,1,
106,41799,2013,14047,1,
107,41801,2013,8651,3,
108,41797,2013,9186,2,
109,41807,2013,20245,4,
110,41872,2013,7327,1,
111,41885,2013,8716,0,
112,41006,2011,30170,,
113,41013,2011,8840,,
114,41016,2011,23502,,
115,41020,2011,24163,,
116,41026,2011,4003,,
117,41078,2011,9452,,
118,41132,2011,33565,,
119,41206,2011,11910,,
120,41244,2011,3673,,
121,41298,2011,80509,,
122,41306,2011,31188,,
123,41319,2011,19733,,
124,41349,2011,6799,,
125,41357,2011,11864,,
126,41359,2011,25749,,
127,41378,2011,13011,,
128,41396,2011,58429,,
129,41483,2011,6131,,
130,41001,2011,333116,,
131,41503,2011,12370,,
132,41518,2011,5411,,
133,41524,2011,30401,,
134,41530,2011,11035,,
135,41548,2011,13327,,
136,41551,2011,116307,,
137,41615,2011,17960,,
138,41660,2011,10978,,
139,41668,2011,31619,,
140,41676,2011,10919,,
141,41770,2011,16987,,
142,41791,2011,16940,,
143,41799,2011,13900,,
144,41801,2011,8546,,
145,41797,2011,9110,,
146,41807,2011,20185,,
147,41872,2011,7332,,
148,41885,2011,8481,,
149,41006,2010,29520,,
150,41013,2010,8766,,
151,41016,2010,22854,,
152,41020,2010,24058,,
153,41026,2010,3934,,
154,41078,2010,9414,,
155,41132,2010,33361,,
156,41206,2010,11795,,
157,41244,2010,3610,,
158,41298,2010,78642,,
159,41306,2010,30664,,
160,41319,2010,19353,,
161,41349,2010,6762,,
162,41357,2010,11649,,
163,41359,2010,25401,,
164,41378,2010,12764,,
165,41396,2010,57381,,
166,41483,2010,6080,,
167,41001,2010,330233,,
168,41503,2010,12104,,
169,41518,2010,5386,,
170,41524,2010,29828,,
171,41530,2010,10901,,
172,41548,2010,13249,,
173,41551,2010,113980,,
174,41615,2010,17761,,
175,41660,2010,10868,,
176,41668,2010,31299,,
177,41676,2010,10804,,
178,41770,2010,16510,,
179,41791,2010,16778,,
180,41799,2010,13941,,
181,41801,2010,9073,,
182,41797,2010,8483,,
183,41807,2010,20257,,
184,41872,2010,7373,,
185,41885,2010,8364,,
186,41006,2008,28245,,
187,41013,2008,8661,,
188,41016,2008,21599,,
189,41020,2008,23820,,
190,41026,2008,3801,,
191,41078,2008,9313,,
192,41132,2008,32919,,
193,41206,2008,11537,,
194,41244,2008,3492,,
195,41298,2008,75017,,
196,41306,2008,29615,,
197,41319,2008,18618,,
198,41349,2008,6685,,
199,41357,2008,11230,,
200,41359,2008,24712,,
201,41378,2008,12289,,
202,41396,2008,55294,,
203,41483,2008,5986,,
204,41001,2008,324905,,
205,41503,2008,11571,,
206,41518,2008,5310,,
207,41524,2008,28701,,
208,41530,2008,10640,,
209,41548,2008,13077,,
210,41551,2008,109375,,
211,41615,2008,17327,,
212,41660,2008,10613,,
213,41668,2008,30643,,
214,41676,2008,10589,,
215,41770,2008,15610,,
216,41791,2008,16430,,
217,41799,2008,8970,,
218,41801,2008,8362,,
219,41797,2008,13793,,
220,41807,2008,20169,,
221,41872,2008,7379,,
222,41885,2008,8133,,
223,41006,2007,26597,,
224,41013,2007,8459,,
225,41016,2007,19928,,
226,41020,2007,23323,,
227,41026,2007,3609,,
228,41078,2007,8348,,
229,41132,2007,32101,,
230,41206,2007,9067,,
231,41244,2007,3342,,
232,41298,2007,70144,,
233,41306,2007,28174,,
234,41319,2007,16067,,
235,41349,2007,6521,,
236,41357,2007,10706,,
237,41359,2007,23756,,
238,41378,2007,11674,,
239,41396,2007,51784,,
240,41483,2007,5807,,
241,41001,2007,315332,,
242,41503,2007,10139,,
243,41518,2007,5186,,
244,41524,2007,27282,,
245,41530,2007,10268,,
246,41548,2007,103582,,
247,41551,2007,12811,,
248,41615,2007,16654,,
249,41660,2007,10262,,
250,41668,2007,29699,,
251,41676,2007,10191,,
252,41770,2007,14617,,
253,41791,2007,15921,,
254,41799,2007,13447,,
255,41801,2007,8198,,
256,41797,2007,8845,,
257,41807,2007,19787,,
258,41872,2007,7314,,
259,41885,2007,7855,,
260,41006,2004,367811,,
261,41013,2004,24157,,
262,41016,2004,9489,,
263,41020,2004,13120,,
264,41026,2004,23636,,
265,41078,2004,2923,,
266,41132,2004,9156,,
267,41206,2004,30352,,
268,41244,2004,10060,,
269,41298,2004,2755,,
270,41306,2004,51757,,
271,41319,2004,21918,,
272,41349,2004,13583,,
273,41357,2004,6028,,
274,41359,2004,8520,,
275,41378,2004,24193,,
276,41396,2004,10397,,
277,41483,2004,41896,,
278,41001,2004,6673,,
279,41503,2004,8409,,
280,41518,2004,5117,,
281,41524,2004,21346,,
282,41530,2004,10887,,
283,41548,2004,12479,,
284,41551,2004,87589,,
285,41615,2004,15919,,
286,41660,2004,8742,,
287,41668,2004,27200,,
288,41676,2004,9782,,
289,41770,2004,9248,,
290,41791,2004,14681,,
291,41799,2004,16373,,
292,41801,2004,8498,,
293,41797,2004,7575,,
294,41807,2004,25552,,
295,41872,2004,7717,,
296,41885,2004,6725,,
