def_codigo,def_codMunicipio,def_anio,def_codTipoDefuncion,def_rango_edad,def_codAreaDefuncion,def_genero,def_numeroCasos
1535,41378,2014,,,4,1,3
1536,41396,2014,,,4,1,13
1537,41483,2014,,,4,1,0
1538,41001,2014,,,4,1,31
1539,41503,2014,,,4,1,4
1540,41518,2014,,,4,1,0
1541,41524,2014,,,4,1,14
1542,41530,2014,,,4,1,1
1543,41548,2014,,,4,1,0
1544,41551,2014,,,4,1,26
1545,41615,2014,,,4,1,8
1546,41660,2014,,,4,1,3
1547,41668,2014,,,4,1,4
1548,41676,2014,,,4,1,1
1549,41770,2014,,,4,1,12
1550,41791,2014,,,4,1,9
1551,41799,2014,,,4,1,6
1552,41801,2014,,,4,1,0
1553,41797,2014,,,4,1,4
1554,41807,2014,,,4,1,12
1555,41872,2014,,,4,1,6
1556,41885,2014,,,4,1,1
1557,41006,2014,,,3,2,21
1558,41013,2014,,,3,2,2
1559,41016,2014,,,3,2,6
1560,41020,2014,,,3,2,9
1561,41026,2014,,,3,2,
1562,41078,2014,,,3,2,5
1563,41132,2014,,,3,2,9
1564,41206,2014,,,3,2,7
1565,41244,2014,,,3,2,
1566,41298,2014,,,3,2,27
1567,41306,2014,,,3,2,10
1568,41319,2014,,,3,2,14
1569,41349,2014,,,3,2,2
1570,41357,2014,,,3,2,7
1571,41359,2014,,,3,2,31
1572,41378,2014,,,3,2,7
1573,41396,2014,,,3,2,18
1574,41483,2014,,,3,2,2
1575,41001,2014,,,3,2,10
1576,41503,2014,,,3,2,7
1577,41518,2014,,,3,2,2
1578,41524,2014,,,3,2,13
1579,41530,2014,,,3,2,20
1580,41548,2014,,,3,2,9
1581,41551,2014,,,3,2,55
1582,41615,2014,,,3,2,11
1583,41660,2014,,,3,2,15
1584,41668,2014,,,3,2,30
1585,41676,2014,,,3,2,8
1586,41770,2014,,,3,2,7
1587,41791,2014,,,3,2,2
1588,41799,2014,,,3,2,4
1589,41801,2014,,,3,2,5
1590,41797,2014,,,3,2,3
1591,41807,2014,,,3,2,10
1592,41872,2014,,,3,2,0
1593,41885,2014,,,3,2,0
1594,41006,2014,,,3,1,36
1595,41013,2014,,,3,1,5
1596,41016,2014,,,3,1,17
1597,41020,2014,,,3,1,13
1598,41026,2014,,,3,1,1
1599,41078,2014,,,3,1,6
1600,41132,2014,,,3,1,18
1601,41206,2014,,,3,1,7
1602,41244,2014,,,3,1,5
1603,41298,2014,,,3,1,48
1604,41306,2014,,,3,1,15
1605,41319,2014,,,3,1,14
1606,41349,2014,,,3,1,1
1607,41357,2014,,,3,1,10
1608,41359,2014,,,3,1,46
1609,41378,2014,,,3,1,18
1610,41396,2014,,,3,1,37
1611,41483,2014,,,3,1,3
1612,41001,2014,,,3,1,24
1613,41503,2014,,,3,1,10
1614,41518,2014,,,3,1,5
1615,41524,2014,,,3,1,15
1616,41530,2014,,,3,1,17
1617,41548,2014,,,3,1,16
1618,41551,2014,,,3,1,90
1619,41615,2014,,,3,1,7
1620,41660,2014,,,3,1,15
1621,41668,2014,,,3,1,48
1622,41676,2014,,,3,1,9
1623,41770,2014,,,3,1,17
1624,41791,2014,,,3,1,19
1625,41799,2014,,,3,1,9
1626,41801,2014,,,3,1,6
1627,41797,2014,,,3,1,5
1628,41807,2014,,,3,1,13
1629,41872,2014,,,3,1,0
1630,41885,2014,,,3,1,3
1631,41006,2014,6,1,,,0
1632,41013,2014,6,1,,,0
1633,41016,2014,6,1,,,0
1634,41020,2014,6,1,,,0
1635,41026,2014,6,1,,,0
1636,41078,2014,6,1,,,0
1637,41132,2014,6,1,,,0
1638,41206,2014,6,1,,,0
1639,41244,2014,6,1,,,0
1640,41298,2014,6,1,,,0
1641,41306,2014,6,1,,,0
1642,41319,2014,6,1,,,0
1643,41349,2014,6,1,,,0
1644,41357,2014,6,1,,,0
1645,41359,2014,6,1,,,0
1646,41378,2014,6,1,,,0
1647,41396,2014,6,1,,,0
1648,41483,2014,6,1,,,0
1649,41001,2014,6,1,,,1
1650,41503,2014,6,1,,,0
1651,41518,2014,6,1,,,0
1652,41524,2014,6,1,,,0
1653,41530,2014,6,1,,,0
1654,41548,2014,6,1,,,0
1655,41551,2014,6,1,,,0
1656,41615,2014,6,1,,,1
1657,41660,2014,6,1,,,0
1658,41668,2014,6,1,,,0
1659,41676,2014,6,1,,,0
1660,41770,2014,6,1,,,0
1661,41791,2014,6,1,,,0
1662,41799,2014,6,1,,,0
1663,41801,2014,6,1,,,0
1664,41797,2014,6,1,,,0
1665,41807,2014,6,1,,,0
1666,41872,2014,6,1,,,0
1667,41885,2014,6,1,,,0
1668,41006,2014,6,2,,,0
1669,41013,2014,6,2,,,0
1670,41016,2014,6,2,,,0
1671,41020,2014,6,2,,,0
1672,41026,2014,6,2,,,0
1673,41078,2014,6,2,,,0
1674,41132,2014,6,2,,,0
1675,41206,2014,6,2,,,0
1676,41244,2014,6,2,,,0
1677,41298,2014,6,2,,,0
1678,41306,2014,6,2,,,0
1679,41319,2014,6,2,,,0
1680,41349,2014,6,2,,,0
1681,41357,2014,6,2,,,0
1682,41359,2014,6,2,,,0
1683,41378,2014,6,2,,,0
1684,41396,2014,6,2,,,0
1685,41483,2014,6,2,,,0
1686,41001,2014,6,2,,,2
1687,41503,2014,6,2,,,0
1688,41518,2014,6,2,,,0
1689,41524,2014,6,2,,,0
1690,41530,2014,6,2,,,0
1691,41548,2014,6,2,,,0
1692,41551,2014,6,2,,,0
1693,41615,2014,6,2,,,0
1694,41660,2014,6,2,,,0
1695,41668,2014,6,2,,,0
1696,41676,2014,6,2,,,0
1697,41770,2014,6,2,,,0
1698,41791,2014,6,2,,,0
1699,41799,2014,6,2,,,0
1700,41801,2014,6,2,,,0
1701,41797,2014,6,2,,,0
1702,41807,2014,6,2,,,0
1703,41872,2014,6,2,,,0
1704,41885,2014,6,2,,,0
1705,41006,2014,6,3,,,0
1706,41013,2014,6,3,,,0
1707,41016,2014,6,3,,,0
1708,41020,2014,6,3,,,0
1709,41026,2014,6,3,,,0
1710,41078,2014,6,3,,,0
1711,41132,2014,6,3,,,0
1712,41206,2014,6,3,,,0
1713,41244,2014,6,3,,,0
1714,41298,2014,6,3,,,0
1715,41306,2014,6,3,,,0
1716,41319,2014,6,3,,,0
1717,41349,2014,6,3,,,0
1718,41357,2014,6,3,,,0
1719,41359,2014,6,3,,,1
1720,41378,2014,6,3,,,0
1721,41396,2014,6,3,,,0
1722,41483,2014,6,3,,,0
1723,41001,2014,6,3,,,1
1724,41503,2014,6,3,,,1
1725,41518,2014,6,3,,,0
1726,41524,2014,6,3,,,0
1727,41530,2014,6,3,,,0
1728,41548,2014,6,3,,,0
1729,41551,2014,6,3,,,1
1730,41615,2014,6,3,,,0
1731,41660,2014,6,3,,,0
1732,41668,2014,6,3,,,0
1733,41676,2014,6,3,,,0
1734,41770,2014,6,3,,,0
1735,41791,2014,6,3,,,0
1736,41799,2014,6,3,,,0
1737,41801,2014,6,3,,,0
1738,41797,2014,6,3,,,0
1739,41807,2014,6,3,,,0
1740,41872,2014,6,3,,,0
1741,41885,2014,6,3,,,0
1742,41006,2014,6,4,,,0
1743,41013,2014,6,4,,,0
1744,41016,2014,6,4,,,0
1745,41020,2014,6,4,,,0
1746,41026,2014,6,4,,,0
1747,41078,2014,6,4,,,0
1748,41132,2014,6,4,,,2
1749,41206,2014,6,4,,,0
1750,41244,2014,6,4,,,0
1751,41298,2014,6,4,,,1
1752,41306,2014,6,4,,,1
1753,41319,2014,6,4,,,0
1754,41349,2014,6,4,,,0
1755,41357,2014,6,4,,,0
1756,41359,2014,6,4,,,2
1757,41378,2014,6,4,,,0
1758,41396,2014,6,4,,,0
1759,41483,2014,6,4,,,0
1760,41001,2014,6,4,,,7
1761,41503,2014,6,4,,,0
1762,41518,2014,6,4,,,0
1763,41524,2014,6,4,,,0
1764,41530,2014,6,4,,,0
1765,41548,2014,6,4,,,0
1766,41551,2014,6,4,,,7
1767,41615,2014,6,4,,,0
1768,41660,2014,6,4,,,0
1769,41668,2014,6,4,,,0
1770,41676,2014,6,4,,,0
1771,41770,2014,6,4,,,0
1772,41791,2014,6,4,,,1
1773,41799,2014,6,4,,,0
1774,41801,2014,6,4,,,0
1775,41797,2014,6,4,,,1
1776,41807,2014,6,4,,,1
1777,41872,2014,6,4,,,0
1778,41885,2014,6,4,,,0
1779,41006,2014,6,5,,,1
1780,41013,2014,6,5,,,0
1781,41016,2014,6,5,,,0
1782,41020,2014,6,5,,,1
1783,41026,2014,6,5,,,1
1784,41078,2014,6,5,,,0
1785,41132,2014,6,5,,,2
1786,41206,2014,6,5,,,0
1787,41244,2014,6,5,,,0
1788,41298,2014,6,5,,,3
1789,41306,2014,6,5,,,0
1790,41319,2014,6,5,,,0
1791,41349,2014,6,5,,,0
1792,41357,2014,6,5,,,0
1793,41359,2014,6,5,,,1
1794,41378,2014,6,5,,,0
1795,41396,2014,6,5,,,1
1796,41483,2014,6,5,,,0
1797,41001,2014,6,5,,,14
1798,41503,2014,6,5,,,0
1799,41518,2014,6,5,,,0
1800,41524,2014,6,5,,,1
1801,41530,2014,6,5,,,0
1802,41548,2014,6,5,,,0
1803,41551,2014,6,5,,,2
1804,41615,2014,6,5,,,0
1805,41660,2014,6,5,,,0
1806,41668,2014,6,5,,,0
1807,41676,2014,6,5,,,0
1808,41770,2014,6,5,,,0
1809,41791,2014,6,5,,,0
1810,41799,2014,6,5,,,0
1811,41801,2014,6,5,,,0
1812,41797,2014,6,5,,,0
1813,41807,2014,6,5,,,1
1814,41872,2014,6,5,,,0
1815,41885,2014,6,5,,,0
1816,41006,2014,6,7,,,2
1817,41013,2014,6,7,,,0
1818,41016,2014,6,7,,,1
1819,41020,2014,6,7,,,0
1820,41026,2014,6,7,,,0
1821,41078,2014,6,7,,,0
1822,41132,2014,6,7,,,3
1823,41206,2014,6,7,,,0
1824,41244,2014,6,7,,,0
1825,41298,2014,6,7,,,1
1826,41306,2014,6,7,,,1
1827,41319,2014,6,7,,,0
1828,41349,2014,6,7,,,1
1829,41357,2014,6,7,,,0
1830,41359,2014,6,7,,,3
1831,41378,2014,6,7,,,0
1832,41396,2014,6,7,,,0
1833,41483,2014,6,7,,,0
1834,41001,2014,6,7,,,10
1835,41503,2014,6,7,,,0
1836,41518,2014,6,7,,,0
1837,41524,2014,6,7,,,0
1838,41530,2014,6,7,,,0
1839,41548,2014,6,7,,,0
1840,41551,2014,6,7,,,3
1841,41615,2014,6,7,,,0
1842,41660,2014,6,7,,,0
1843,41668,2014,6,7,,,0
1844,41676,2014,6,7,,,0
1845,41770,2014,6,7,,,0
1846,41791,2014,6,7,,,0
1847,41799,2014,6,7,,,1
1848,41801,2014,6,7,,,2
1849,41797,2014,6,7,,,0
1850,41807,2014,6,7,,,0
1851,41872,2014,6,7,,,0
1852,41885,2014,6,7,,,0
1853,41006,2014,6,8,,,1
1854,41013,2014,6,8,,,0
1855,41016,2014,6,8,,,1
1856,41020,2014,6,8,,,0
1857,41026,2014,6,8,,,0
1858,41078,2014,6,8,,,1
1859,41132,2014,6,8,,,1
1860,41206,2014,6,8,,,0
1861,41244,2014,6,8,,,0
1862,41298,2014,6,8,,,0
1863,41306,2014,6,8,,,0
1864,41319,2014,6,8,,,0
1865,41349,2014,6,8,,,0
1866,41357,2014,6,8,,,0
1867,41359,2014,6,8,,,3
1868,41378,2014,6,8,,,0
