nac_codigo,nac_codMunicipio,nac_anio,nac_codArea,nac_genero,nac_numero_nacimientos
173,41551,2016,3,2,1018
174,41615,2016,3,2,5
175,41660,2016,3,2,10
176,41668,2016,3,2,13
177,41676,2016,3,2,11
178,41770,2016,3,2,33
179,41791,2016,3,2,13
180,41799,2016,3,2,5
181,41801,2016,3,2,5
182,41797,2016,3,2,3
183,41807,2016,3,2,2
184,41872,2016,3,2,1
185,41885,2016,3,2,0
186,41006,2016,3,1,12
187,41013,2016,3,1,5
188,41016,2016,3,1,4
189,41020,2016,3,1,20
190,41026,2016,3,1,0
191,41078,2016,3,1,5
192,41132,2016,3,1,3
193,41206,2016,3,1,12
194,41244,2016,3,1,0
195,41298,2016,3,1,469
196,41306,2016,3,1,9
197,41319,2016,3,1,30
198,41349,2016,3,1,4
199,41357,2016,3,1,32
200,41359,2016,3,1,9
201,41378,2016,3,1,25
202,41396,2016,3,1,503
203,41483,2016,3,1,23
204,41001,2016,3,1,469
205,41503,2016,3,1,6
206,41518,2016,3,1,9
207,41524,2016,3,1,11
208,41530,2016,3,1,6
209,41548,2016,3,1,24
210,41551,2016,3,1,956
211,41615,2016,3,1,4
212,41660,2016,3,1,9
213,41668,2016,3,1,8
214,41676,2016,3,1,10
215,41770,2016,3,1,43
216,41791,2016,3,1,14
217,41799,2016,3,1,3
218,41801,2016,3,1,1
219,41797,2016,3,1,9
220,41807,2016,3,1,4
221,41872,2016,3,1,0
222,41885,2016,3,1,1
223,41006,2015,5,2,18
224,41013,2015,5,2,15
225,41016,2015,5,2,30
226,41020,2015,5,2,44
227,41026,2015,5,2,0
228,41078,2015,5,2,12
229,41132,2015,5,2,43
230,41206,2015,5,2,6
231,41244,2015,5,2,0
232,41298,2015,5,2,1183
233,41306,2015,5,2,44
234,41319,2015,5,2,64
235,41349,2015,5,2,16
236,41357,2015,5,2,21
237,41359,2015,5,2,11
238,41378,2015,5,2,42
239,41396,2015,5,2,848
240,41483,2015,5,2,7
241,41001,2015,5,2,4692
242,41503,2015,5,2,3
243,41518,2015,5,2,5
244,41524,2015,5,2,29
245,41530,2015,5,2,10
246,41548,2015,5,2,32
247,41551,2015,5,2,2238
248,41615,2015,5,2,16
249,41660,2015,5,2,22
250,41668,2015,5,2,20
251,41676,2015,5,2,27
252,41770,2015,5,2,43
253,41791,2015,5,2,19
254,41799,2015,5,2,13
255,41801,2015,5,2,9
256,41797,2015,5,2,23
257,41807,2015,5,2,8
258,41872,2015,5,2,7
259,41885,2015,5,2,6
260,41006,2015,5,1,16
261,41013,2015,5,1,31
262,41016,2015,5,1,22
263,41020,2015,5,1,40
264,41026,2015,5,1,0
265,41078,2015,5,1,15
266,41132,2015,5,1,38
267,41206,2015,5,1,5
268,41244,2015,5,1,1
269,41298,2015,5,1,1305
270,41306,2015,5,1,32
271,41319,2015,5,1,51
272,41349,2015,5,1,19
273,41357,2015,5,1,13
274,41359,2015,5,1,4
275,41378,2015,5,1,35
276,41396,2015,5,1,888
277,41483,2015,5,1,17
278,41001,2015,5,1,4996
279,41503,2015,5,1,1
280,41518,2015,5,1,3
281,41524,2015,5,1,32
282,41530,2015,5,1,9
283,41548,2015,5,1,42
284,41551,2015,5,1,2330
285,41615,2015,5,1,26
286,41660,2015,5,1,18
287,41668,2015,5,1,18
288,41676,2015,5,1,27
289,41770,2015,5,1,44
290,41791,2015,5,1,35
291,41799,2015,5,1,10
292,41801,2015,5,1,10
293,41797,2015,5,1,22
294,41807,2015,5,1,5
295,41872,2015,5,1,6
296,41885,2015,5,1,6
297,41006,2015,5,3,0
298,41013,2015,5,3,0
299,41016,2015,5,3,0
300,41020,2015,5,3,0
301,41026,2015,5,3,0
302,41078,2015,5,3,0
303,41132,2015,5,3,0
304,41206,2015,5,3,0
305,41244,2015,5,3,0
306,41298,2015,5,3,0
307,41306,2015,5,3,0
308,41319,2015,5,3,0
309,41349,2015,5,3,0
310,41357,2015,5,3,0
311,41359,2015,5,3,0
312,41378,2015,5,3,0
313,41396,2015,5,3,1
314,41483,2015,5,3,0
