orsa_codigo,orsa_codMunicipio,orsa_anio,orsa_tipo_organismos_salud,orsa_num_organismos_salud
135,41548,2014,4,
136,41551,2014,4,
137,41615,2014,4,
138,41660,2014,4,
139,41668,2014,4,
140,41676,2014,4,
141,41770,2014,4,
142,41791,2014,4,
143,41799,2014,4,
144,41801,2014,4,
145,41797,2014,4,
146,41807,2014,4,
147,41872,2014,4,
148,41885,2014,4,
149,41006,2014,5,
150,41013,2014,5,
151,41016,2014,5,
152,41020,2014,5,
153,41026,2014,5,
154,41078,2014,5,
155,41132,2014,5,
156,41206,2014,5,
157,41244,2014,5,
158,41298,2014,5,
159,41306,2014,5,
160,41319,2014,5,
161,41349,2014,5,
162,41357,2014,5,
163,41359,2014,5,
164,41378,2014,5,
165,41396,2014,5,
166,41483,2014,5,
167,41001,2014,5,2
168,41503,2014,5,
169,41518,2014,5,
170,41524,2014,5,
171,41530,2014,5,
172,41548,2014,5,
173,41551,2014,5,
174,41615,2014,5,
175,41660,2014,5,
176,41668,2014,5,
177,41676,2014,5,
178,41770,2014,5,
179,41791,2014,5,
180,41799,2014,5,
181,41801,2014,5,
182,41797,2014,5,
183,41807,2014,5,
184,41872,2014,5,
185,41885,2014,5,
186,41006,2014,6,
187,41013,2014,6,
188,41016,2014,6,
189,41020,2014,6,
190,41026,2014,6,
191,41078,2014,6,
192,41132,2014,6,
193,41206,2014,6,
194,41244,2014,6,
195,41298,2014,6,
196,41306,2014,6,
197,41319,2014,6,
198,41349,2014,6,
199,41357,2014,6,
200,41359,2014,6,
201,41378,2014,6,
202,41396,2014,6,
203,41483,2014,6,
204,41001,2014,6,
205,41503,2014,6,
206,41518,2014,6,
207,41524,2014,6,
208,41530,2014,6,
209,41548,2014,6,
210,41551,2014,6,
211,41615,2014,6,
212,41660,2014,6,
213,41668,2014,6,
214,41676,2014,6,
215,41770,2014,6,
216,41791,2014,6,
217,41799,2014,6,
218,41801,2014,6,
219,41797,2014,6,
220,41807,2014,6,
221,41872,2014,6,
222,41885,2014,6,
223,41006,2014,7,
224,41013,2014,7,
225,41016,2014,7,
226,41020,2014,7,
227,41026,2014,7,
228,41078,2014,7,
229,41132,2014,7,
230,41206,2014,7,
231,41244,2014,7,
232,41298,2014,7,
233,41306,2014,7,
234,41319,2014,7,
235,41349,2014,7,
236,41357,2014,7,
237,41359,2014,7,
238,41378,2014,7,
239,41396,2014,7,
240,41483,2014,7,
241,41001,2014,7,
242,41503,2014,7,
243,41518,2014,7,
244,41524,2014,7,
245,41530,2014,7,
246,41548,2014,7,
247,41551,2014,7,
248,41615,2014,7,
249,41660,2014,7,
250,41668,2014,7,
251,41676,2014,7,
252,41770,2014,7,
253,41791,2014,7,
254,41799,2014,7,
255,41801,2014,7,
256,41797,2014,7,
257,41807,2014,7,
258,41872,2014,7,
259,41885,2014,7,
260,41006,2014,8,
261,41013,2014,8,
262,41016,2014,8,
263,41020,2014,8,
264,41026,2014,8,
265,41078,2014,8,
266,41132,2014,8,
267,41206,2014,8,
268,41244,2014,8,
269,41298,2014,8,
270,41306,2014,8,
271,41319,2014,8,
272,41349,2014,8,
273,41357,2014,8,
274,41359,2014,8,
275,41378,2014,8,
276,41396,2014,8,
277,41483,2014,8,
278,41001,2014,8,
279,41503,2014,8,
280,41518,2014,8,
281,41524,2014,8,
282,41530,2014,8,
283,41548,2014,8,
284,41551,2014,8,
285,41615,2014,8,
286,41660,2014,8,
287,41668,2014,8,
288,41676,2014,8,
289,41770,2014,8,
290,41791,2014,8,
291,41799,2014,8,
292,41801,2014,8,
293,41797,2014,8,
294,41807,2014,8,
295,41872,2014,8,
296,41885,2014,8,
297,41006,2014,9,
298,41013,2014,9,
299,41016,2014,9,
300,41020,2014,9,
301,41026,2014,9,
302,41078,2014,9,
303,41132,2014,9,
304,41206,2014,9,
305,41244,2014,9,
306,41298,2014,9,
307,41306,2014,9,
308,41319,2014,9,
309,41349,2014,9,
310,41357,2014,9,
311,41359,2014,9,
312,41378,2014,9,
313,41396,2014,9,
314,41483,2014,9,
315,41001,2014,9,
316,41503,2014,9,
317,41518,2014,9,
318,41524,2014,9,
319,41530,2014,9,
320,41548,2014,9,
321,41551,2014,9,
322,41615,2014,9,
323,41660,2014,9,
324,41668,2014,9,
325,41676,2014,9,
326,41770,2014,9,
327,41791,2014,9,
328,41799,2014,9,
329,41801,2014,9,
330,41797,2014,9,
331,41807,2014,9,
332,41872,2014,9,
333,41885,2014,9,
334,41006,2014,12,10
335,41013,2014,12,4
336,41016,2014,12,14
337,41020,2014,12,7
338,41026,2014,12,0
339,41078,2014,12,8
340,41132,2014,12,5
341,41206,2014,12,7
342,41244,2014,12,0
343,41298,2014,12,100
344,41306,2014,12,17
345,41319,2014,12,11
346,41349,2014,12,8
347,41357,2014,12,7
348,41359,2014,12,7
349,41378,2014,12,6
350,41396,2014,12,43
351,41483,2014,12,8
352,41001,2014,12,1104
353,41503,2014,12,6
354,41518,2014,12,9
355,41524,2014,12,14
356,41530,2014,12,3
357,41548,2014,12,9
358,41551,2014,12,147
359,41615,2014,12,11
360,41660,2014,12,8
361,41668,2014,12,15
362,41676,2014,12,10
363,41770,2014,12,7
364,41791,2014,12,6
