niji_codigo,niji_codMunicipio,niji_anio,niji_tipo_modalidades,niji_tipo_dato_modalidad,niji_numero
338,41396,2010,52,17,0
339,41001,2010,52,17,4
340,41551,2010,52,17,0
341,41298,2010,52,5,0
342,41396,2010,52,5,0
343,41001,2010,52,5,4
344,41551,2010,52,5,0
345,41298,2010,53,17,0
346,41396,2010,53,17,0
347,41001,2010,53,17,4
348,41551,2010,53,17,0
349,41298,2010,53,5,0
350,41396,2010,53,5,0
351,41001,2010,53,5,4
352,41551,2010,53,5,0
353,41298,2010,54,17,0
354,41396,2010,54,17,0
355,41001,2010,54,17,0
356,41551,2010,54,17,0
357,41298,2010,54,5,0
358,41396,2010,54,5,0
359,41001,2010,54,5,0
360,41551,2010,54,5,0
361,41298,2009,46,17,65
362,41396,2009,46,17,96
363,41001,2009,46,17,152
364,41551,2009,46,17,85
365,41298,2009,46,5,73
366,41396,2009,46,5,104
367,41001,2009,46,5,156
368,41551,2009,46,5,85
369,41298,2009,47,17,1
370,41396,2009,47,17,2
371,41001,2009,47,17,0
372,41551,2009,47,17,2
373,41298,2009,47,5,1
374,41396,2009,47,5,2
375,41001,2009,47,5,0
376,41551,2009,47,5,2
377,41298,2009,48,17,26
378,41396,2009,48,17,76
379,41001,2009,48,17,0
380,41551,2009,48,17,655
381,41298,2009,48,5,26
382,41396,2009,48,5,100
383,41001,2009,48,5,0
384,41551,2009,48,5,655
385,41298,2009,49,17,0
386,41396,2009,49,17,1
387,41001,2009,49,17,3
388,41551,2009,49,17,0
389,41298,2009,49,5,0
390,41396,2009,49,5,1
391,41001,2009,49,5,3
392,41551,2009,49,5,0
393,41298,2009,50,17,0
394,41396,2009,50,17,0
395,41001,2009,50,17,3
396,41551,2009,50,17,0
397,41298,2009,50,5,0
398,41396,2009,50,5,0
399,41001,2009,50,5,3
400,41551,2009,50,5,0
401,41298,2009,51,17,0
402,41396,2009,51,17,0
403,41001,2009,51,17,0
404,41551,2009,51,17,0
405,41298,2009,51,5,0
406,41396,2009,51,5,0
407,41001,2009,51,5,0
408,41551,2009,51,5,0
409,41298,2009,52,17,2
410,41396,2009,52,17,0
411,41001,2009,52,17,1
412,41551,2009,52,17,0
413,41298,2009,52,5,2
414,41396,2009,52,5,0
415,41001,2009,52,5,1
