coas_codigo,coas_municipio,coas_anio,coas_cobertura,coas_tipo_poblacion,coas_num_personas
110,41872,2015,1,3,0
111,41885,2015,1,3,0
112,41006,2015,1,4,3
113,41013,2015,1,4,0
114,41016,2015,1,4,0
115,41020,2015,1,4,0
116,41026,2015,1,4,0
117,41078,2015,1,4,0
118,41132,2015,1,4,2
119,41206,2015,1,4,0
120,41244,2015,1,4,0
121,41298,2015,1,4,3
122,41306,2015,1,4,1
123,41319,2015,1,4,0
124,41349,2015,1,4,1
125,41357,2015,1,4,3
126,41359,2015,1,4,0
127,41378,2015,1,4,0
128,41396,2015,1,4,3
129,41483,2015,1,4,6
130,41001,2015,1,4,10
131,41503,2015,1,4,20
132,41518,2015,1,4,0
133,41524,2015,1,4,7
134,41530,2015,1,4,0
135,41548,2015,1,4,0
136,41551,2015,1,4,8
137,41615,2015,1,4,1
138,41660,2015,1,4,1
139,41668,2015,1,4,0
140,41676,2015,1,4,1
141,41770,2015,1,4,0
142,41791,2015,1,4,0
143,41799,2015,1,4,0
144,41801,2015,1,4,1
145,41797,2015,1,4,0
146,41807,2015,1,4,5
147,41872,2015,1,4,0
148,41885,2015,1,4,8
149,41006,2015,1,5,2
150,41013,2015,1,5,1
151,41016,2015,1,5,2
152,41020,2015,1,5,6
153,41026,2015,1,5,0
154,41078,2015,1,5,0
155,41132,2015,1,5,7
156,41206,2015,1,5,9
157,41244,2015,1,5,0
158,41298,2015,1,5,10
159,41306,2015,1,5,0
160,41319,2015,1,5,1
161,41349,2015,1,5,0
162,41357,2015,1,5,0
163,41359,2015,1,5,7
164,41378,2015,1,5,0
165,41396,2015,1,5,23
166,41483,2015,1,5,6
167,41001,2015,1,5,81
168,41503,2015,1,5,1
169,41518,2015,1,5,1
170,41524,2015,1,5,2
171,41530,2015,1,5,0
172,41548,2015,1,5,0
173,41551,2015,1,5,62
174,41615,2015,1,5,1
175,41660,2015,1,5,0
176,41668,2015,1,5,0
177,41676,2015,1,5,1
178,41770,2015,1,5,0
179,41791,2015,1,5,0
180,41799,2015,1,5,3
181,41801,2015,1,5,0
182,41797,2015,1,5,19
183,41807,2015,1,5,2
184,41872,2015,1,5,1
185,41885,2015,1,5,1
186,41006,2015,1,6,9
187,41013,2015,1,6,1
188,41016,2015,1,6,0
189,41020,2015,1,6,0
190,41026,2015,1,6,0
191,41078,2015,1,6,3
192,41132,2015,1,6,5
193,41206,2015,1,6,0
194,41244,2015,1,6,2
195,41298,2015,1,6,4
196,41306,2015,1,6,3
197,41319,2015,1,6,2
198,41349,2015,1,6,0
199,41357,2015,1,6,7
200,41359,2015,1,6,16
201,41378,2015,1,6,4
